name,pa,xwoba,barrel_batted_rate,hard_hit_percent,k_percent,bb_percent,whiff_percent,SMASH,tier
"Mateo, Jorge",132,0.316,9.6,47.0,31.1,6.1,30.9,48.5,WHITE
"Tena, José",182,0.311,8.9,50.9,30.2,7.7,35.4,48.5,WHITE
"Albies, Ozzie",397,0.294,4.2,27.9,12.8,6.8,20.3,48.5,WHITE
"Andujar, Miguel",237,0.296,4.3,36.4,16.0,3.8,18.8,48.4,WHITE
"Langford, Wyatt",178,0.299,7.9,36.2,22.5,5.6,22.8,48.4,WHITE
"Caissie, Owen",246,0.309,16.3,48.1,39.0,7.3,36.7,48.4,WHITE
"Siri, Jose",96,0.317,13.1,36.1,28.1,6.3,34.0,48.4,WHITE
"Winn, Masyn",347,0.299,3.3,34.4,19.0,8.1,21.3,48.3,WHITE
"Smith, Josh",138,0.28,6.2,30.9,18.8,10.1,22.4,48.3,WHITE
"Durbin, Caleb",304,0.286,3.0,29.1,13.8,6.6,15.8,48.3,WHITE
"Jensen, Carter",333,0.292,9.2,43.3,28.2,9.0,29.9,48.2,WHITE
"Ward, Ryan",60,0.317,10.8,28.9,28.3,8.3,27.6,48.2,WHITE
"Fermín, José",166,0.28,2.3,29.2,13.9,7.2,13.9,48.2,WHITE
"Baty, Brett",316,0.301,8.1,39.1,27.2,9.2,28.9,48.1,WHITE
"Ozuna, Marcell",242,0.312,8.6,39.4,30.6,9.9,31.3,48.1,WHITE
"Tolbert, Tyler",60,0.312,4.4,31.1,18.3,6.7,24.6,48.0,WHITE
"McCarthy, Jake",294,0.315,5.9,26.0,17.7,5.4,22.7,48.0,WHITE
"Muncy, Max",175,0.295,11.1,48.5,33.1,8.0,32.5,48.0,WHITE
"Peters, Tristan",266,0.304,4.6,29.7,18.4,6.8,21.9,47.9,WHITE
"Díaz, Elias",87,0.301,7.2,37.7,18.4,2.3,25.0,47.8,WHITE
"Altuve, Jose",305,0.288,6.3,32.2,22.0,9.5,24.0,47.8,WHITE
"Yelich, Christian",262,0.297,7.6,41.5,28.2,10.3,31.5,47.8,WHITE
"Meidroth, Chase",380,0.288,4.4,34.0,23.7,9.5,19.6,47.8,WHITE
"Gilbert, Drew",205,0.293,2.1,31.5,17.6,9.3,21.4,47.8,WHITE
"Duran, Ezequiel",313,0.305,6.0,37.3,22.7,6.7,27.1,47.7,WHITE
"Loperfido, Joey",120,0.297,6.8,35.6,25.8,11.7,31.0,47.7,WHITE
"Mayo, Coby",243,0.289,9.9,49.3,32.5,7.8,30.8,47.7,WHITE
"Polanco, Jorge",70,0.275,3.8,32.7,17.1,8.6,20.0,47.6,WHITE
"Guzman, Denzer",107,0.299,6.8,35.1,23.4,6.5,24.5,47.6,WHITE
"Chisholm Jr., Jazz",348,0.291,8.7,40.2,29.0,10.6,31.4,47.6,WHITE
"Kirk, Alejandro",90,0.26,2.9,34.3,13.3,8.9,20.4,47.5,WHITE
"Thomas, Alek",100,0.292,8.6,43.1,23.0,3.0,26.7,47.5,WHITE
"O'Hoppe, Logan",225,0.276,11.3,38.4,24.9,6.7,28.1,47.5,WHITE
"Soler, Jorge",297,0.302,11.2,40.6,31.6,9.8,36.2,47.5,WHITE
"Bolte, Henry",193,0.305,6.8,46.6,27.5,7.8,34.3,47.5,WHITE
"Call, Alex",132,0.277,2.2,17.6,15.9,12.9,15.3,47.4,WHITE
"Arenado, Nolan",334,0.291,6.5,32.2,21.6,7.5,24.0,47.4,WHITE
"Bart, Joey",91,0.301,10.0,36.7,26.4,3.3,24.9,47.3,WHITE
"Teel, Kyle",53,0.298,14.3,50.0,37.7,7.5,38.5,47.3,WHITE
"Fortes, Nick",218,0.27,1.7,37.1,11.9,2.8,14.9,47.3,WHITE
"Wilson, Jacob",226,0.28,1.6,28.7,11.9,4.9,15.1,47.2,WHITE
"Lukes, Nathan",210,0.302,1.2,27.6,14.8,5.7,18.6,47.2,WHITE
"Song, Sung-Mun",91,0.269,6.3,21.9,17.6,12.1,22.8,47.1,WHITE
"Ruiz, Esteury",113,0.314,7.9,28.6,28.3,10.6,30.4,47.1,WHITE
"Ramírez, Agustín",129,0.282,4.7,40.7,21.7,10.1,31.0,47.1,WHITE
"Raleigh, Cal",267,0.286,11.4,33.6,32.2,12.0,31.0,47.1,WHITE
"Wells, Austin",212,0.279,6.2,43.4,27.8,11.3,30.5,47.1,WHITE
"Crooks, Jimmy",65,0.314,5.7,50.0,32.3,7.7,33.9,47.0,WHITE
"Adames, Willy",371,0.292,9.2,41.7,28.6,6.5,29.4,47.0,WHITE
"Church, Nathan",249,0.284,8.3,32.0,21.3,5.2,23.2,47.0,WHITE
"García, Adolis",259,0.294,9.3,48.0,32.4,8.1,34.6,46.9,WHITE
"Turner, Trea",402,0.288,6.3,40.1,22.4,5.7,27.4,46.9,WHITE
"Lee, Brooks",362,0.276,4.0,31.2,16.3,6.9,21.0,46.9,WHITE
"Castro, Willi",315,0.297,6.1,40.4,27.3,8.6,29.9,46.9,WHITE
"Riley, Austin",373,0.287,10.2,42.2,29.8,8.0,32.6,46.8,WHITE
"Taylor, Samad",102,0.326,3.3,25.0,29.4,11.8,24.3,46.8,WHITE
"Taylor, Tyrone",122,0.278,8.3,31.3,18.0,3.3,22.5,46.7,WHITE
"Smith, Pavin",89,0.255,3.3,31.1,20.2,11.2,17.2,46.7,WHITE
"Griffin, Konnor",247,0.305,8.1,37.0,26.3,6.5,31.7,46.7,WHITE
"Gelof, Zack",247,0.289,6.6,41.3,25.1,5.7,27.5,46.6,WHITE
"Perkins, Blake",101,0.264,4.4,33.8,21.8,9.9,20.9,46.6,WHITE
"Thompson, Sterlin",77,0.295,6.3,43.8,27.3,6.5,30.1,46.6,WHITE
"Acuña, Luisangel",158,0.279,4.1,39.3,17.7,4.4,24.3,46.5,WHITE
"Jackson, Jeremiah",210,0.288,7.4,38.7,20.0,1.9,26.0,46.5,WHITE
"Pereira, Everson",77,0.302,10.6,42.6,29.9,6.5,37.7,46.4,WHITE
"Gurriel Jr., Lourdes",176,0.28,4.5,33.1,17.6,5.7,23.6,46.4,WHITE
"Schneemann, Daniel",258,0.292,8.0,38.5,28.7,8.5,31.2,46.4,WHITE
"Duran, Jarren",363,0.296,11.3,38.6,30.3,7.2,35.4,46.3,WHITE
"Espinal, Santiago",60,0.29,2.0,31.4,13.3,1.7,18.8,46.2,WHITE
"McKinstry, Zach",237,0.272,2.3,20.5,17.3,10.5,16.6,46.2,WHITE
"Moncada, Yoán",130,0.27,7.7,40.9,34.6,13.1,28.8,46.1,WHITE
"Domínguez, Jasson",128,0.291,4.3,38.7,21.1,4.7,26.9,46.1,WHITE
"Callihan, Tyler",84,0.302,8.5,31.9,32.1,10.7,31.7,46.0,WHITE
"Diaz, Yainer",165,0.282,5.3,31.1,16.4,3.0,22.5,46.0,WHITE
"Rafaela, Ceddanne",353,0.286,5.0,32.6,19.5,4.8,24.3,46.0,WHITE
"Clement, Ernie",359,0.275,2.2,22.7,9.5,3.3,16.1,45.9,WHITE
"Jones, Jahmai",105,0.29,8.3,43.3,33.3,9.5,34.2,45.9,WHITE
"Taveras, Leody",283,0.286,4.4,30.4,24.7,9.9,25.3,45.8,WHITE
"Torrens, Luis",175,0.272,4.1,36.0,20.6,5.7,21.9,45.8,WHITE
"Bailey, Patrick",186,0.278,6.5,39.2,25.8,7.0,27.9,45.8,WHITE
"Sullivan, Brett",130,0.268,3.0,32.3,17.7,5.4,18.6,45.7,WHITE
"Mayer, Marcelo",228,0.259,6.1,36.0,19.3,7.0,26.5,45.7,WHITE
"Mangum, Jake",244,0.29,1.6,27.2,17.2,5.3,20.3,45.5,WHITE
"Gorman, Nolan",229,0.278,9.2,43.8,32.3,10.9,38.9,45.4,WHITE
"Freeland, Alex",218,0.282,5.3,37.4,29.4,10.1,28.9,45.4,WHITE
"Kim, Hyeseong",131,0.304,3.4,25.3,23.7,9.2,27.0,45.4,WHITE
"Norby, Connor",233,0.282,7.6,36.6,30.0,10.3,32.7,45.4,WHITE
"Isbel, Kyle",183,0.275,3.1,34.1,22.4,5.5,19.2,45.3,WHITE
"Fry, David",149,0.263,7.3,34.1,30.9,14.1,30.7,45.2,WHITE
"Crawford, Justin",287,0.28,1.0,33.5,20.6,5.9,19.4,45.2,WHITE
"Mullins, Cedric",308,0.263,3.8,30.5,20.5,8.4,22.4,45.2,WHITE
"Romo, Drew",117,0.259,7.9,28.9,23.9,10.3,28.2,45.1,WHITE
"Fraley, Jake",90,0.276,8.8,21.4,27.8,8.9,21.8,45.1,WHITE
"Simpson, Chandler",343,0.266,0.0,15.2,9.6,5.2,10.5,45.0,WHITE
"Meyers, Jake",148,0.255,6.5,28.0,20.3,6.8,21.7,44.9,WHITE
"Marte, Noelvi",129,0.274,7.1,31.0,25.6,7.0,25.5,44.9,WHITE
"Triolo, Jared",203,0.275,2.2,35.6,23.2,7.9,24.3,44.9,WHITE
"White, Eli",119,0.28,6.0,31.8,21.8,5.9,28.4,44.9,WHITE
"Fernandez, Jose",177,0.276,3.9,38.8,22.6,4.0,24.6,44.8,WHITE
"Lowe, Josh",177,0.281,8.5,37.3,28.2,4.5,29.2,44.7,WHITE
"Hamilton, David",238,0.264,3.8,27.7,22.7,9.2,21.9,44.7,WHITE
"Dunn, Blake",155,0.278,2.9,30.3,21.3,6.5,23.3,44.6,WHITE
"Fermin, Freddy",162,0.263,2.7,25.2,19.8,10.5,24.2,44.5,WHITE
"Saggese, Thomas",82,0.274,10.0,38.0,31.7,7.3,33.0,44.5,WHITE
"Jones, Spencer",82,0.28,5.1,63.2,41.5,11.0,41.7,44.4,WHITE
"Susac, Daniel",115,0.286,5.0,28.7,23.5,5.2,25.3,44.3,WHITE
"Hernaiz, Darell",134,0.263,1.0,24.7,17.2,9.7,22.8,44.3,WHITE
"DeLuca, Jonny",172,0.286,3.9,28.9,20.3,5.2,27.7,44.2,WHITE
"Durán, Rodolfo",85,0.251,9.3,29.6,27.1,8.2,25.9,44.2,WHITE
"Cole, Zach",53,0.289,16.7,50.0,39.6,1.9,43.3,44.2,WHITE
"Trammell, Taylor",118,0.295,10.3,36.8,33.9,7.6,38.8,44.2,WHITE
"Escarra, J.C.",92,0.258,4.5,33.8,19.6,6.5,28.1,44.1,WHITE
"Castellanos, Nick",122,0.285,8.4,37.3,27.9,4.1,33.5,44.0,RED
"Lockridge, Brandon",96,0.276,1.7,32.8,26.0,10.4,27.6,44.0,RED
"Del Castillo, Adrian",164,0.261,6.8,39.4,29.3,7.3,29.0,43.9,RED
"Peraza, Oswald",270,0.284,8.0,37.3,28.9,3.3,29.9,43.9,RED
"Pagés, Pedro",159,0.272,5.5,39.1,25.2,3.8,28.0,43.9,RED
"Jansen, Danny",142,0.254,6.0,33.3,28.2,9.2,25.5,43.8,RED
"Haase, Eric",84,0.271,16.3,28.6,33.3,7.1,38.1,43.8,RED
"Tawa, Tim",86,0.257,1.9,30.4,23.3,11.6,26.3,43.8,RED
"Waldschmidt, Ryan",122,0.289,8.3,36.1,32.8,6.6,33.7,43.7,RED
"Hill, Derek",134,0.293,10.5,33.8,35.1,6.7,35.2,43.7,RED
"Arias, Gabriel",89,0.293,12.8,51.1,41.6,5.6,45.2,43.6,RED
"Quero, Edgar",172,0.26,2.6,34.5,23.8,7.0,23.9,43.6,RED
"Walls, Taylor",259,0.261,3.1,22.5,25.1,12.0,23.2,43.6,RED
"Báez, Javier",82,0.294,3.2,28.6,19.5,2.4,27.5,43.5,RED
"Tovar, Ezequiel",332,0.273,7.0,32.6,25.9,5.1,29.6,43.5,RED
"Thomas, Colby",98,0.263,10.6,36.4,28.6,4.1,32.0,43.5,RED
"Lee, Hao-Yu",154,0.271,7.5,34.0,26.6,4.5,29.8,43.4,RED
